Country,TradeType,12/1/2022,11/1/2022,10/1/2022,9/1/2022,8/1/2022,7/1/2022,6/1/2022,5/1/2022,4/1/2022,3/1/2022,2/1/2022,1/1/2022,12/1/2021,11/1/2021,10/1/2021,9/1/2021,8/1/2021,7/1/2021,6/1/2021,5/1/2021,4/1/2021,3/1/2021,2/1/2021,1/1/2021,12/1/2020,11/1/2020,10/1/2020,9/1/2020,8/1/2020,7/1/2020,6/1/2020,5/1/2020,4/1/2020,3/1/2020,2/1/2020,1/1/2020
Iran,Exports,510,1091,2586,548,810,374,1091,2358,2115,462,1239,1140,2457,1424,1433,1891,1608,1778,2328,1728,581,510,1679,301,1190,1709,2557,4118,2460,4513,4725,5804,915,3127,546,2391
Iran,Imports,317,267,692,258,255,44,258,328,191,790,316,754,1454,1131,320,886,297,575,863,389,345,426,533,727,960,238,473,225,276,513,655,293,1324,832,714,335
Iran,TradeBalance,193,824,1894,290,555,330,833,2030,1924,-328,923,386,1003,293,1113,1005,1311,1203,1465,1339,236,84,1146,-426,230,1471,2084,3893,2184,4000,4070,5511,-409,2295,-168,2056
Ireland,Exports,177243,33157,117698,61522,68379,109400,134281,179510,77319,47636,19881,32085,22400,55726,34508,32235,26744,25801,268595,108373,35605,31978,107426,11134,39043,12943,156489,23969,28713,26511,52091,48372,81404,65351,167639,52272
Ireland,Imports,106678,118525,157648,118936,193225,107148,154789,114569,86763,127647,110898,82200,96356,95135,110319,272126,280524,287457,323034,232561,297031,393479,170727,73413,250720,252154,187158,112631,94134,104004,111688,93891,116897,100595,106456,87483
Ireland,TradeBalance,70565,-85368,-39950,-57414,-124846,2252,-20508,64941,-9444,-80011,-91017,-50115,-73956,-39409,-75811,-239891,-253780,-261656,-54439,-124188,-261426,-361501,-63301,-62279,-211677,-239211,-30669,-88662,-65421,-77493,-59597,-45519,-35493,-35244,61183,-35211
Israel,Exports,105746,122699,78544,111282,138756,153543,116551,130846,123517,106120,82905,97565,130817,113756,84731,86316,115120,77433,120143,65197,79422,109961,186911,145386,79428,60733,82054,70195,69972,93102,67597,70264,58873,76531,108427,64986
Israel,Imports,98717,85965,93452,143055,126174,99014,106901,94229,101182,147553,151344,99841,78553,133323,78247,61451,118969,91964,114138,66475,100274,65341,50469,57611,57097,66810,55783,78726,62961,67784,70446,60180,48218,79818,100408,63270
Israel,TradeBalance,7029,36734,-14908,-31773,12582,54529,9650,36617,22335,-41433,-68439,-2276,52264,-19567,6484,24865,-3849,-14531,6005,-1278,-20852,44620,136442,87775,22331,-6077,26271,-8531,7011,25318,-2849,10084,10655,-3287,8019,1716
Italy,Exports,128641,167460,155578,125791,126344,120489,124441,90730,122721,115529,99591,114199,117893,94072,105439,92937,76819,110520,110337,101415,111104,89175,103583,70294,69085,58627,95575,95369,60203,90617,87036,56620,85844,66789,149231,96267
Italy,Imports,702472,725004,594994,547587,592000,570591,606990,555654,534144,549561,452391,567318,638714,691514,554736,420816,483107,516562,616494,571999,611275,520491,485485,527951,613730,476816,487904,409767,461599,382371,442728,295412,347814,511874,493798,512050
Italy,TradeBalance,-573831,-557544,-439416,-421796,-465656,-450102,-482549,-464924,-411423,-434032,-352800,-453119,-520821,-597442,-449297,-327879,-406288,-406042,-506157,-470584,-500171,-431316,-381902,-457657,-544645,-418189,-392329,-314398,-401396,-291754,-355692,-238792,-261970,-445085,-344567,-415783
Jamaica,Imports,93,117,61,493,137,24,96,47,125,44,104,44,104,184,83,55,34,131,51,53,200,39,39,155,116,13,49,64,34,20,110,74,31,16,23,94
Jamaica,TradeBalance,-93,-117,-61,-493,-137,-24,-96,-47,-125,-44,-104,-44,-104,-184,-83,-55,-34,-131,-51,-53,-200,-39,-39,-155,-116,-13,-49,-64,-34,-20,-110,-74,-31,-16,-23,-94
Japan,Exports,2271626,2504491,2406706,2481370,2311824,2327064,2472924,2329546,2464468,2673309,2195357,2225689,2461955,2207061,2144334,2144273,2156629,2207935,1919748,1855420,1965326,2045433,1752673,1777803,1974988,1968606,2045891,1946583,1744085,2098399,2220049,1949916,2314386,2246814,1980315,2155267
Japan,Imports,2618288,2837697,3038903,3109529,3100676,3440363,3194697,3842940,3273519,3429885,2496003,2448743,2802540,2508153,2573996,2579476,2193348,2562776,2332476,2128722,2607053,2568597,2204003,2210238,2198919,1996097,2323790,1968908,1662592,1955997,1754589,1785072,2168406,2606394,2427079,2138871
Japan,TradeBalance,-346662,-333206,-632197,-628159,-788852,-1113299,-721773,-1513394,-809051,-756576,-300646,-223054,-340585,-301092,-429662,-435203,-36719,-354841,-412728,-273302,-641727,-523164,-451330,-432435,-223931,-27491,-277899,-22325,81493,142402,465460,164844,145980,-359580,-446764,16396
Jordan,Exports,15012,8410,7316,7608,9380,12002,10111,5789,9218,10855,6404,9224,15098,6128,7591,5291,4202,9055,7550,3120,8821,5623,7352,4642,7080,7975,4568,37262,5001,5314,4129,3496,4592,5108,4285,3607
Jordan,Imports,8265,7262,3020,8904,3782,5333,8573,8687,4772,4639,2531,6037,7155,2381,5937,7547,7314,8377,3585,27108,3936,9865,6639,4037,4383,4367,2624,3093,4904,8999,1829,1171,1144,3326,3582,2477
Jordan,TradeBalance,6747,1148,4296,-1296,5598,6669,1538,-2898,4446,6216,3873,3187,7943,3747,1654,-2256,-3112,678,3965,-23988,4885,-4242,713,605,2697,3608,1944,34169,97,-3685,2300,2325,3448,1782,703,1130
Kiribati,Imports,0,3,0,0,0,0,0,15,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
Kiribati,TradeBalance,0,-3,0,0,0,0,0,-15,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0
Kuwait,Exports,46086,44896,40943,42895,34121,20377,19183,15363,13101,21471,13719,37106,32896,38914,13755,21588,16190,9466,15099,12215,42301,20144,14284,40434,11378,13515,25257,12156,14994,15602,14177,11364,11703,18219,12828,24722
Kuwait,Imports,639,54562,52798,16848,56351,117344,2626,158838,21012,105396,3188,18171,30819,58308,146002,2001,22511,3250,2742,29661,126815,39467,87132,203881,84802,136458,164900,89707,232601,402610,29340,159144,75654,118280,180975,402328
Kuwait,TradeBalance,45447,-9666,-11855,26047,-22230,-96967,16557,-143475,-7911,-83925,10531,18935,2077,-19394,-132247,19587,-6321,6216,12357,-17446,-84514,-19323,-72848,-163447,-73424,-122943,-139643,-77551,-217607,-387008,-15163,-147780,-63951,-100061,-168147,-377606
Laos People's Democratic Republic,Exports,4643,2950,7222,27116,3719,6565,2897,3820,47951,10026,2489,12861,36482,8414,4406,3217,3716,3072,8148,2739,2824,5464,3497,2815,2842,3357,2423,2401,2322,3055,1511,2353,1738,3702,4108,7018
Laos People's Democratic Republic,Imports,7281,4963,16907,20214,36150,1707,19064,17428,13936,22579,4162,16693,10234,5968,361,2909,3027,504,391,1718,352,2849,3970,1657,830,384,1776,25133,48458,35564,13475,311,409,1134,1263,525
Laos People's Democratic Republic,TradeBalance,-2638,-2013,-9685,6902,-32431,4858,-16167,-13608,34015,-12553,-1673,-3832,26248,2446,4045,308,689,2568,7757,1021,2472,2615,-473,1158,2012,2973,647,-22732,-46136,-32509,-11964,2042,1329,2568,2845,6493
Latvia,Exports,7434,2792,7758,9914,4005,9284,18929,5070,8474,6756,2661,7263,6794,4537,2467,1702,3782,5303,7128,4900,4245,6313,5383,4551,9177,6165,5646,2878,5597,3424,5572,4028,2264,3007,4117,3976
Latvia,Imports,4288,6436,2299,2679,3549,3910,3546,4452,4620,3726,2888,3324,4295,2570,2699,2318,4260,3624,4128,3763,1546,2241,1466,1346,1887,2216,1389,1971,1024,1671,2004,1185,1425,1861,885,1331
Latvia,TradeBalance,3146,-3644,5459,7235,456,5374,15383,618,3854,3030,-227,3939,2499,1967,-232,-616,-478,1679,3000,1137,2699,4072,3917,3205,7290,3949,4257,907,4573,1753,3568,2843,839,1146,3232,2645
Lebanon,Exports,1729,2798,1148,1082,1380,1505,2059,1597,1722,1856,987,2256,1301,1632,1318,1570,1655,1489,1817,1542,2591,1659,2917,2346,2163,2112,1274,3173,1963,2093,1305,3210,3193,2544,4736,1618
Lebanon,Imports,332,578,449,303,337,475,92,79,50,188,121,121,515,173,204,56,200,92,143,98,52,100,244,13,104,288,75,124,26,3032,145,214,91,191,192,176
Lebanon,TradeBalance,1397,2220,699,779,1043,1030,1967,1518,1672,1668,866,2135,786,1459,1114,1514,1455,1397,1674,1444,2539,1559,2673,2333,2059,1824,1199,3049,1937,-939,1160,2996,3102,2353,4544,1442
Liechtenstein,Imports,2250,3686,2650,3558,3380,3229,3055,3438,4006,2640,2804,2951,3311,2985,3597,2724,3655,2597,3631,3716,2789,3744,2612,2859,3105,2345,2227,2788,2421,2505,1402,2349,3329,2430,2869,2822
Liechtenstein,TradeBalance,-2250,-3686,-2650,-3558,-3380,-3229,-3055,-3438,-4006,-2640,-2804,-2951,-3311,-2985,-3597,-2724,-3655,-2597,-3631,-3716,-2789,-3744,-2612,-2859,-3105,-2345,-2227,-2788,-2421,-2505,-1402,-2349,-3329,-2430,-2869,-2822
Lithuania,Exports,1248,3033,4156,2474,3363,2261,1482,3397,2665,2763,3576,1415,1308,2107,1266,1753,74911,2391,1647,1440,2800,2397,1919,147603,75397,2198,1326,75320,2420,901,1552,1764,1142,875,1383,1934
Lithuania,Imports,13594,8716,5892,8406,6345,3338,135585,12346,53185,53700,8831,52056,7758,8029,38070,13052,61180,11845,12598,11125,10231,57734,10644,14204,7809,12180,8739,10548,10732,7116,10000,10014,9946,8567,7184,22159
Lithuania,TradeBalance,-12346,-5683,-1736,-5932,-2982,-1077,-134103,-8949,-50520,-50937,-5255,-50641,-6450,-5922,-36804,-11299,13731,-9454,-10951,-9685,-7431,-55337,-8725,133399,67588,-9982,-7413,64772,-8312,-6215,-8448,-8250,-8804,-7692,-5801,-20225
Luxembourg,Exports,25910,4663,6334,7283,9801,27007,59945,63757,54066,70418,21589,10674,9588,11952,4759,10606,20734,8895,6347,17791,23390,11507,9241,29625,20974,22768,10448,6001,10637,47737,12259,13490,11112,4213,29228,33896
Luxembourg,Imports,8156,5714,15746,55482,31284,9766,32019,4651,2296,3539,7456,32098,3859,3579,5167,7454,2048,3486,3702,2260,4257,3079,5380,2567,11891,3758,14577,3471,3479,29389,23619,3436,44095,5787,2715,9204
Luxembourg,TradeBalance,17754,-1051,-9412,-48199,-21483,17241,27926,59106,51770,66879,14133,-21424,5729,8373,-408,3152,18686,5409,2645,15531,19133,8428,3861,27058,9083,19010,-4129,2530,7158,18348,-11360,10054,-32983,-1574,26513,24692
Macau,Exports,29319,42902,21959,18310,26644,16838,19416,30190,24195,27876,36011,20555,41104,33318,17312,29593,41994,23981,19661,22856,13294,23576,14679,14456,32529,35036,18680,23349,14557,11030,10509,6912,8588,10042,7233,19517
Macau,Imports,1376,17054,2341,436,3219,982,4107,2484,3293,3104,3225,1829,3251,922,1348,1853,1381,2016,1074,728,229,547,700,2864,1974,910,372,917,417,471,449,592,1222,486,2437,1000
Macau,TradeBalance,27943,25848,19618,17874,23425,15856,15309,27706,20902,24772,32786,18726,37853,32396,15964,27740,40613,21965,18587,22128,13065,23029,13979,11592,30555,34126,18308,22432,14140,10559,10060,6320,7366,9556,4796,18517
Mainland China,Exports,6374198,6773005,7810503,7133642,7548001,7792074,7516364,6757831,7481265,8912350,6929035,7163479,9215862,8281345,8461516,8785105,8134968,7991895,7300460,6720024,7838848,7270148,5255659,5682689,7090834,6852887,6992713,6561515,7970167,5395714,5603145,5080433,5038157,5255263,3910570,5091217
Mainland China,Imports,7642587,8285837,7377473,7390866,8196629,8510236,7976196,7478079,6153885,6635528,4799291,6387242,7876015,6670871,6026092,6016585,5467821,5526552,6198485,5799262,6329544,6291717,4989727,6121009,6202327,6280686,5142563,5479579,5574117,5539168,5288235,4843684,5583246,5979894,3978903,5469816
Mainland China,TradeBalance,-1268389,-1512832,433030,-257224,-648628,-718162,-459832,-720248,1327380,2276822,2129744,776237,1339847,1610474,2435424,2768520,2667147,2465343,1101975,920762,1509304,978431,265932,-438320,888507,572201,1850150,1081936,2396050,-143454,314910,236749,-545089,-724631,-68333,-378599
Malaysia,Exports,5154779,5557119,6233818,5884698,6150507,6672175,7049568,6755655,5784848,6247336,4802094,4826818,5235038,5553622,5198396,4852096,4623527,4044927,3811035,4271295,4941837,5549343,3904908,4566888,4098730,3920478,3810320,4057093,3782960,4080198,3672727,2929890,2898079,3683598,4084098,4882427
Malaysia,Imports,6017970,6773423,6417377,7672003,7225607,7243882,7528135,6664440,6958619,7882249,5333950,6180062,6725700,6572612,6447589,5974561,5733440,5830757,5526747,5932710,6272592,6158053,5402465,5553323,5226122,4918769,5249328,5092968,5070011,5094878,5247898,4002175,3387367,4295365,4985932,4979254
Malaysia,TradeBalance,-863191,-1216304,-183559,-1787305,-1075100,-571707,-478567,91215,-1173771,-1634913,-531856,-1353244,-1490662,-1018990,-1249193,-1122465,-1109913,-1785830,-1715712,-1661415,-1330755,-608710,-1497557,-986435,-1127392,-998291,-1439008,-1035875,-1287051,-1014680,-1575171,-1072285,-489288,-611767,-901834,-96827
"Maldives, Republic Of",Exports,27931,34754,21845,30156,32331,18970,28239,15855,22845,24635,21129,28876,32943,20744,20992,20185,22772,19342,22062,19203,16575,32655,15425,19611,16375,16589,16530,14887,12826,16892,13345,9139,12440,22755,30099,43551
"Maldives, Republic Of",Imports,103,145,14,43,37,21,4,134,41,9,96,145,113,121,35,32,72,11,26,108,193,193,69,57,227,24,32,170,20,5,1,0,0,28,109,89
"Maldives, Republic Of",TradeBalance,27828,34609,21831,30113,32294,18949,28235,15721,22804,24626,21033,28731,32830,20623,20957,20153,22700,19331,22036,19095,16382,32462,15356,19554,16148,16565,16498,14717,12806,16887,13344,9139,12440,22727,29990,43462
Malta,Exports,243227,245180,220098,248160,229646,243500,268961,236254,243822,164505,169550,160475,187108,193483,165816,143882,183928,150912,131092,161486,159192,172823,127302,108413,139545,128198,124824,137128,136607,115500,85631,219435,139734,157276,292086,209000
Malta,Imports,41040,23080,51734,23836,40703,54619,21429,25475,26320,23192,81616,18169,76979,65852,156403,145303,20379,54541,69906,14958,44893,19176,14389,51714,32239,14927,19082,16183,16899,19717,26047,15044,23609,20391,14917,42930
Malta,TradeBalance,202187,222100,168364,224324,188943,188881,247532,210779,217502,141313,87934,142306,110129,127631,9413,-1421,163549,96371,61186,146528,114299,153647,112913,56699,107306,113271,105742,120945,119708,95783,59584,204391,116125,136885,277169,166070
Mexico,Exports,224874,277119,282600,231403,258392,374213,277688,233505,221708,225644,200534,212582,249178,191192,208634,218560,233421,209944,160101,144758,159720,165516,110962,131358,142122,119971,162314,146966,147966,165632,125643,108984,164619,209119,142174,133156
Mexico,Imports,277739,242881,272680,263872,247995,402686,301939,274105,245392,237988,183348,201662,435468,271087,266843,228508,218577,263102,290019,301806,301539,281681,206715,276223,217586,356379,327607,300973,249672,262102,221919,213546,225541,266785,240158,276701
Mexico,TradeBalance,-52865,34238,9920,-32469,10397,-28473,-24251,-40600,-23684,-12344,17186,10920,-186290,-79895,-58209,-9948,14844,-53158,-129918,-157048,-141819,-116165,-95753,-144865,-75464,-236408,-165293,-154007,-101706,-96470,-96276,-104562,-60922,-57666,-97984,-143545
Micronesia,Imports,29,8,5,10,10,8,22,20,9,3,19,3,12,3,8,0,2,1,9,31,1,1,54,32,0,0,2,35,0,0,0,2,0,1,2,0
Micronesia,TradeBalance,-29,-8,-5,-10,-10,-8,-22,-20,-9,-3,-19,-3,-12,-3,-8,0,-2,-1,-9,-31,-1,-1,-54,-32,0,0,-2,-35,0,0,0,-2,0,-1,-2,0
Myanmar,Exports,449544,392738,461908,509268,455447,737588,472359,493861,276456,670528,519274,325864,452365,304342,257507,218120,188701,346813,363217,241352,264431,312926,219550,343638,327498,246851,224144,268968,273130,283466,356460,278782,247214,449515,331483,430961
Myanmar,Imports,7486,6044,5856,6949,8313,7363,6221,7012,6443,7434,5771,6836,11148,12998,6539,10386,8775,7479,11265,9188,11875,9048,5399,9126,10474,10764,8009,7789,6457,25111,8355,7736,9852,32206,14314,16270
Myanmar,TradeBalance,442058,386694,456052,502319,447134,730225,466138,486849,270013,663094,513503,319028,441217,291344,250968,207734,179926,339334,351952,232164,252556,303878,214151,334512,317024,236087,216135,261179,266673,258355,348105,271046,237362,417309,317169,414691
Nauru,Imports,14,0,0,8,0,0,18,262,0,543,20,10,5,0,1,2,0,0,25,50,0,48,15,14,48,7,11,0,0,71,0,0,0,33,94,4
Nauru,TradeBalance,-14,0,0,-8,0,0,-18,-262,0,-543,-20,-10,-5,0,-1,-2,0,0,-25,-50,0,-48,-15,-14,-48,-7,-11,0,0,-71,0,0,0,-33,-94,-4
Nepal,Exports,18692,12037,13355,15734,16029,18883,17375,18189,15405,20211,17047,27163,22264,23842,15821,18916,30275,17649,11612,10621,25788,20350,16796,19654,18460,14704,12596,12353,12337,19247,7341,3273,1619,13956,26784,24515
Nepal,Imports,221,612,688,602,559,632,385,279,1026,150,28582,868,177,158,117,179,256,131,55,72,108,249,76,75,1298,106,113,993,916,1245,39,5,70,347,271,1957
Nepal,TradeBalance,18471,11425,12667,15132,15470,18251,16990,17910,14379,20061,-11535,26295,22087,23684,15704,18737,30019,17518,11557,10549,25680,20101,16720,19579,17162,14598,12483,11360,11421,18002,7302,3268,1549,13609,26513,22558
Netherlands,Exports,1243341,1190952,1189965,1181847,1512800,1477881,1249897,1290748,1404974,1247649,1204414,1133245,1090263,1192539,1162452,1129749,1126958,1008226,1033589,1248771,1074545,1220016,861007,920221,1090919,932838,1118627,1029741,1231532,1164695,1486744,1364868,1226948,1250263,1139493,1082003
Netherlands,Imports,384010,301384,263199,314814,339001,359653,265196,279506,574480,423978,213278,261220,301866,323512,246274,277208,432933,399429,447162,288247,470044,393519,250998,356221,257892,296798,303736,373881,286459,252322,273072,255200,269347,296540,231398,283975
Netherlands,TradeBalance,859331,889568,926766,867033,1173799,1118228,984701,1011242,830494,823671,991136,872025,788397,869027,916178,852541,694025,608797,586427,960524,604501,826497,610009,564000,833027,636040,814891,655860,945073,912373,1213672,1109668,957601,953723,908095,798028
Netherlands Antilles,Imports,0,0,0,0,0,0,0,0,3,5,5,0,1,0,2,0,0,0,4,0,0,0,2,6,89,18,77,80,166,2,49,26,18,30,43018,32
Netherlands Antilles,TradeBalance,0,0,0,0,0,0,0,0,-3,-5,-5,0,-1,0,-2,0,0,0,-4,0,0,0,-2,-6,-89,-18,-77,-80,-166,-2,-49,-26,-18,-30,-43018,-32
New Caledonia,Exports,32546,15556,38811,29359,39826,53846,45761,99705,38537,40725,25375,47347,21028,26316,60672,44418,42555,17926,7741,27720,27699,14599,24788,21302,47804,10242,14542,23293,27640,32070,14685,20441,7094,29736,35384,29838
New Caledonia,Imports,18,256,14,262,186,25,10,102,5,92,59,22,28,68,127,31,87,4292,385,139,80,84,25,79,42,156,6,24,3,171,187,4,0,5,63,30
New Caledonia,TradeBalance,32528,15300,38797,29097,39640,53821,45751,99603,38532,40633,25316,47325,21000,26248,60545,44387,42468,13634,7356,27581,27619,14515,24763,21223,47762,10086,14536,23269,27637,31899,14498,20437,7094,29731,35321,29808
New Zealand,Exports,397788,573747,499540,528450,471479,626090,411583,640105,772144,317564,275263,285224,259772,201719,286154,219976,256178,340694,236031,197788,194223,333483,261895,206579,190958,254986,145480,190150,243800,244066,218918,127291,134685,282059,229238,273376
New Zealand,Imports,122266,72677,72719,79919,133089,97855,102003,155635,92299,84730,55143,115683,87492,85048,84332,56207,90645,67151,78315,88947,60885,71214,47573,62306,92235,123931,44728,91438,62094,98929,73899,91166,70052,100199,71785,121022
New Zealand,TradeBalance,275522,501070,426821,448531,338390,528235,309580,484470,679845,232834,220120,169541,172280,116671,201822,163769,165533,273543,157716,108841,133338,262269,214322,144273,98723,131055,100752,98712,181706,145137,145019,36125,64633,181860,157453,152354
Niue,Imports,80,0,1,3,0,0,0,0,0,2,2,0,1,2,1,57,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
Niue,TradeBalance,-80,0,-1,-3,0,0,0,0,0,-2,-2,0,-1,-2,-1,-57,0,0,0,0,-3,0,0,0,0,-2,0,0,-1,0,0,0,0,0,0,0
Norfolk Island,Imports,1,0,0,0,101,0,9,70,57,0,11,23,0,0,0,0,1,0,3,0,21,0,16,0,0,0,0,0,18,12,89,0,0,0,87,89
Norfolk Island,TradeBalance,-1,0,0,0,-101,0,-9,-70,-57,0,-11,-23,0,0,0,0,-1,0,-3,0,-21,0,-16,0,0,0,0,0,-18,-12,-89,0,0,0,-87,-89
Norway,Imports,50581,43134,40090,41524,36231,49789,53425,44564,55664,90633,46708,54280,50080,48303,44647,40203,51509,48442,62320,43877,100416,67520,48391,44281,109334,54431,51510,44600,82320,55228,94930,66717,50807,69037,71122,58705
Norway,TradeBalance,-50581,-43134,-40090,-41524,-36231,-49789,-53425,-44564,-55664,-90633,-46708,-54280,-50080,-48303,-44647,-40203,-51509,-48442,-62320,-43877,-100416,-67520,-48391,-44281,-109334,-54431,-51510,-44600,-82320,-55228,-94930,-66717,-50807,-69037,-71122,-58705
Oman,Exports,18234,16674,45914,19112,68168,78456,19072,15375,80599,73446,59577,117675,20113,14912,71116,50629,11570,11256,31387,14778,14049,25174,17307,35671,15487,12243,20751,18949,16117,33286,29861,17031,15543,24086,46235,13934
Oman,Imports,72624,60005,108470,42137,73156,71377,129614,32226,63758,28076,26302,44336,32205,68246,18000,70602,111537,27263,134736,45781,52260,95125,3362,39721,114288,17440,13784,42576,13687,79909,2561,2214,5321,26038,13579,57540
Oman,TradeBalance,-54390,-43331,-62556,-23025,-4988,7079,-110542,-16851,16841,45370,33275,73339,-12092,-53334,53116,-19973,-99967,-16007,-103349,-31003,-38211,-69951,13945,-4050,-98801,-5197,6967,-23627,2430,-46623,27300,14817,10222,-1952,32656,-43606
Other Countries In America,Imports,37931,43918,44771,35101,40996,40731,62285,63491,35968,29530,25285,24530,28323,25305,24972,25131,24548,26480,28692,26278,24297,25103,30652,19976,33069,35781,25052,23355,22820,84917,15341,19064,26879,39133,29091,29935
Other Countries In America,TradeBalance,-37931,-43918,-44771,-35101,-40996,-40731,-62285,-63491,-35968,-29530,-25285,-24530,-28323,-25305,-24972,-25131,-24548,-26480,-28692,-26278,-24297,-25103,-30652,-19976,-33069,-35781,-25052,-23355,-22820,-84917,-15341,-19064,-26879,-39133,-29091,-29935
Other Countries In Oceania,Exports,691400,650476,658085,708359,823524,728717,707093,681505,742237,508917,578405,531186,499593,491014,425155,426439,430472,426835,415067,399373,424102,368318,431246,377216,345987,319859,315235,334003,336797,292682,258498,214693,347044,441282,605285,590793
Other Countries In Oceania,Imports,1577,3090,269,664,441,2880,1032,422,254,1570,1231,555,242,654,841,1233,11673,165,1024,374,707,583,6180,299,3960,6415,4694,13863,5759,2701,1257,714,2366,346,848,2103
Other Countries In Oceania,TradeBalance,689823,647386,657816,707695,823083,725837,706061,681083,741983,507347,577174,530631,499351,490360,424314,425206,418799,426670,414043,398999,423395,367735,425066,376917,342027,313444,310541,320140,331038,289981,257241,213979,344678,440936,604437,588690
Pakistan,Exports,183923,111265,66674,226902,132621,313964,154897,96075,124061,136729,104044,109592,113172,134061,347067,144473,188100,134201,112620,132392,142533,94380,80077,114767,85678,97269,81263,66813,133325,73067,72764,58553,47275,73769,171549,175338
Pakistan,Imports,7334,10169,6327,5272,9692,4988,6725,6176,9552,8074,16731,6204,8281,11999,6406,10234,6735,8455,7214,6279,5213,8097,10003,6549,8647,4441,30589,5323,15132,5407,3077,3489,4851,7095,7837,7491
Pakistan,TradeBalance,176589,101096,60347,221630,122929,308976,148172,89899,114509,128655,87313,103388,104891,122062,340661,134239,181365,125746,105406,126113,137320,86283,70074,108218,77031,92828,50674,61490,118193,67660,69687,55064,42424,66674,163712,167847
Palau,Imports,1,0,0,0,6,0,0,0,0,137,0,0,65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Palau,TradeBalance,-1,0,0,0,-6,0,0,0,0,-137,0,0,-65,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,0
Panama,Imports,127,116,175,328,424,131,403,337,327,193,29,102,2090,354,335,265,138,787,275,110,149,273,221,307,193,2139,560,83,137,67,162,1300,1549,241,366,691
Panama,TradeBalance,-127,-116,-175,-328,-424,-131,-403,-337,-327,-193,-29,-102,-2090,-354,-335,-265,-138,-787,-275,-110,-149,-273,-221,-307,-193,-2139,-560,-83,-137,-67,-162,-1300,-1549,-241,-366,-691
Papua New Guinea,Exports,84412,80267,102466,114715,75179,117535,86614,178814,90152,90348,96879,80775,71805,73323,68151,65586,66963,34614,70882,38503,60025,67297,37434,75515,63337,40719,62190,53035,45468,54761,46108,35924,65185,69351,78522,105812
Papua New Guinea,Imports,23124,12724,10221,14332,104656,21087,15351,27361,10765,16279,13742,10972,14981,82962,74860,13015,71162,72611,68957,71370,37545,42577,3669,7692,11259,2904,4994,19019,58693,10878,51298,21622,86087,1323,121520,1883
Papua New Guinea,TradeBalance,61288,67543,92245,100383,-29477,96448,71263,151453,79387,74069,83137,69803,56824,-9639,-6709,52571,-4199,-37997,1925,-32867,22480,24720,33765,67823,52078,37815,57196,34016,-13225,43883,-5190,14302,-20902,68028,-42998,103929
Paraguay,Exports,563,626,987,1297,283,222,1521,523,494,419,382,1677,713,1007,726,148,443,664,429,371,1663,385,457,484,2166,600,445,1032,985,411,233,955,308,194,809,306
Paraguay,Imports,681,281,487,235,513,423,832,945,422,557,404,172,341,185,464,550,663,327,396,232,402,291,34,359,127,66,134,215,102,126,169,47,4,190,132,96
Paraguay,TradeBalance,-118,345,500,1062,-230,-201,689,-422,72,-138,-22,1505,372,822,262,-402,-220,337,33,139,1261,94,423,125,2039,534,311,817,883,285,64,908,304,4,677,210
Peru,Exports,11791,8651,7898,10393,9050,9116,11348,9728,9506,7640,11823,8443,11564,12624,7368,8286,11184,8858,7252,6540,4768,8272,5422,6264,6953,9320,16089,4889,5884,5655,7489,7726,5264,6874,7514,6536
Peru,Imports,3464,2155,11670,14741,1888,3042,12092,7394,1267,1044,846,1656,3061,1570,1279,898,946,5178,2167,1527,1088,1386,1472,1340,3387,5008,9386,12164,3067,2521,1455,981,2908,1935,2485,3375
Peru,TradeBalance,8327,6496,-3772,-4348,7162,6074,-744,2334,8239,6596,10977,6787,8503,11054,6089,7388,10238,3680,5085,5013,3680,6886,3950,4924,3566,4312,6703,-7275,2817,3134,6034,6745,2356,4939,5029,3161
Philippines,Exports,1116549,1118234,1229078,1367212,1654932,1430283,1455141,1194254,1225542,1206732,898526,1082779,1170890,1329198,980583,903601,1005828,965175,981095,908860,1009146,1066012,1001918,982646,888000,814908,916638,877251,849391,1014441,896456,692502,567314,821266,868932,1048522
Philippines,Imports,592778,581054,646820,599147,1121526,1358580,1219107,1165111,1126651,1112063,962299,1024236,1111297,929167,946558,909166,986348,934416,854834,895423,861358,898912,821546,743341,818118,785946,757489,834705,857117,973394,889759,733533,600246,758664,759531,730334
Philippines,TradeBalance,523771,537180,582258,768065,533406,71703,236034,29143,98891,94669,-63773,58543,59593,400031,34025,-5565,19480,30759,126261,13437,147788,167100,180372,239305,69882,28962,159149,42546,-7726,41047,6697,-41031,-32932,62602,109401,318188
Poland,Exports,53076,63246,47942,53511,48436,57658,57747,51670,65823,50459,39804,60979,59941,56197,50546,51404,49199,45140,43915,49028,46944,54932,37660,46014,53566,54076,48649,41626,40421,36221,27678,28652,26595,37580,41220,50945
